республика,фио,пол,год рождения,был срок до,два срока до,партия,год кампании,религия,национальность ,национальнось региона,избран,,путинская рука
Тыва,Шериг-о́ол Дизижи́кович О́оржак,М,1942,0,0,0,1993,1,1,тувинцы,1,,
Тыва,Шериг-о́ол Дизижи́кович О́оржак,М,1942,1,0,0,1997,1,1,тувинцы,1,,
Тыва,Каадыр-оол Алексеевич Бичелдей ,М,1950,0,0,0,1997,1,1,тувинцы,0,,
Тыва,Аракчаа Кара-Кыс Донгаковна,Ж,1950,0,0,Единая Россия,1997,1,1,тувинцы,0,,
Тыва,Шолба́н Вале́рьевич Кара-о́ол,М,1966,0,0,Единая Россия,2007,1,1,тувинцы,1,,1
Тыва,Шолба́н Вале́рьевич Кара-о́ол,М,1966,1,0,Единая Россия,2012,1,1,тувинцы,1,,1
Тыва,Даваа Кан-оол Тимурови,М,1963,0,0,Единая Россия,2012,1,1,тувинцы,0,,
Тыва,Шолба́н Вале́рьевич Кара-о́ол,М,1966,1,1,Единая Россия,2016,1,1,тувинцы,1,,
Тыва,Валерий Бичи-оол,М,1970,0,0,Справедливая Россия,2016,1,1,тувинцы,0,,
Тыва,Сергей Салчак,М,1963,0,0,КПРФ,2016,1,1,тувинцы,0,,
